855100,Jackie,Chan
855101,Chris,Tucker
855102,Bruce,Willis
855103,Jennifer,Lopez
855104,Richard,Gere
855105,Julia,Roberts
855106,Brad,Pitt
855107,Catherine,Zeta-Jones
855108,George,Clooney
855109,Johnny,Depp
855110,Kate,Winslet
855111,Christina,Ricci
855112,Jim,Carrery
872001,Halle,Barry
872002,Ice,Cube
872003,Ben,Stiller
872004,Vince,Vaughn
872005,Snoop,Dogg
872006,Denzel,Washington
872007,Christopher,Walken
872008,Nicole,Kidman
872009,Tom,Cruise
872010,Jamie,Fox
872011,Kerry,Washington
907000,Samuel,Jackson
907001,Tony,Shalhoub
907002,Steve,Coogan
907003,Keir,Dullea
907004,Malcolm,McDowell
907005,Kurt,Russell
907006,Hilary,Swank
907007,Christian,Bale
907008,Timothy,Spall
907009,Tara,Subkoff
